On 08/02/2015 at 18:54:08, Keepbotting used the command [demote keep23456]
On 08/02/2015 at 18:54:30, Keepbotting used the command [goto keep2345]
On 08/02/2015 at 18:54:35, Keepbotting used the command [goto keepbotting2]
On 08/02/2015 at 18:55:12, Keepbotting used the command [goto keep2345]
On 08/02/2015 at 18:55:20, Keepbotting used the command [goto keepbotting]
On 08/02/2015 at 18:59:56, Keepbotting used the command [demote keep2345]
On 08/02/2015 at 19:00:02, Keepbotting used the command [demote keepbotting2]
On 08/02/2015 at 19:00:09, Keepbotting used the command [demote ghghgh]
On 08/02/2015 at 19:13:23, Keepbotting used the command [goto keepbotting2]
On 08/02/2015 at 19:13:36, Keepbotting used the command [item 995 1000]
On 08/02/2015 at 19:13:39, Keepbotting used the command [item 995]
On 08/02/2015 at 21:35:38, Keepbotting used the command [demote keepbotting]
On 08/04/2015 at 16:17:26, Keepbotting used the command [search pirate]
On 08/04/2015 at 16:17:33, Keepbotting used the command [item 20197]
On 08/04/2015 at 16:17:38, Keepbotting used the command [item 20197]
On 08/04/2015 at 16:17:48, Keepbotting used the command [item 2651]
On 08/04/2015 at 16:17:56, Keepbotting used the command [item 2997]
On 08/04/2015 at 16:21:50, Keepbotting used the command [search ceremonial]
On 08/04/2015 at 16:22:00, Keepbotting used the command [item 20547]
On 08/04/2015 at 16:22:14, Keepbotting used the command [item 20126]
On 08/04/2015 at 16:22:20, Keepbotting used the command [item 20115]
On 08/04/2015 at 16:22:32, Keepbotting used the command [item 20116]
On 08/04/2015 at 16:22:36, Keepbotting used the command [item 20117]
On 08/04/2015 at 16:22:46, Keepbotting used the command [item 20118]
On 08/04/2015 at 16:22:49, Keepbotting used the command [item 20119]
On 08/04/2015 at 16:23:04, Keepbotting used the command [search eye p]
On 08/04/2015 at 16:23:10, Keepbotting used the command [item 1025]
On 08/04/2015 at 16:25:07, Keepbotting used the command [search dragon med helm]
On 08/04/2015 at 16:25:14, Keepbotting used the command [item 1149]
On 08/04/2015 at 16:25:20, Keepbotting used the command [search granite plate]
On 08/04/2015 at 16:25:27, Keepbotting used the command [search granity]
On 08/04/2015 at 16:25:32, Keepbotting used the command [search granite body]
On 08/04/2015 at 16:25:36, Keepbotting used the command [item 10564]
On 08/04/2015 at 16:26:47, Keepbotting used the command [search glory]
On 08/04/2015 at 16:26:51, Keepbotting used the command [item 1074]
On 08/04/2015 at 16:26:56, Keepbotting used the command [item 1704]
On 08/04/2015 at 16:27:05, Keepbotting used the command [empty]
On 08/04/2015 at 16:27:11, Keepbotting used the command [search dragon long]
On 08/04/2015 at 16:27:16, Keepbotting used the command [item 1305]
On 08/04/2015 at 16:27:29, Keepbotting used the command [search dragon platel]
On 08/04/2015 at 16:27:34, Keepbotting used the command [item 4087]
On 08/04/2015 at 16:27:44, Keepbotting used the command [search dragon boo]
On 08/04/2015 at 16:27:49, Keepbotting used the command [item 11732]
On 08/04/2015 at 16:27:57, Keepbotting used the command [search ian cap]
On 08/04/2015 at 16:28:01, Keepbotting used the command [item 6568]
On 08/04/2015 at 16:28:18, Keepbotting used the command [search toktz]
On 08/04/2015 at 16:28:25, Keepbotting used the command [item 6536]
On 08/04/2015 at 16:28:29, Keepbotting used the command [item 6535]
On 08/04/2015 at 16:28:57, Keepbotting used the command [search ket-xil]
On 08/04/2015 at 16:29:04, Keepbotting used the command [item 6524]
On 08/04/2015 at 16:45:42, Keepbotting used the command [search fire rune]
On 08/04/2015 at 16:45:47, Keepbotting used the command [item 554]
On 08/04/2015 at 16:47:10, Keepbotting used the command [search pernix]
On 08/04/2015 at 16:47:14, Keepbotting used the command [item 20147]
On 08/04/2015 at 16:48:05, Keepbotting used the command [search fire rune]
On 08/04/2015 at 16:48:31, Keepbotting used the command [search of glory]
On 08/04/2015 at 17:00:53, Keepbotting used the command [search queen's]
On 08/04/2015 at 17:00:57, Keepbotting used the command [item 9020]
On 08/04/2015 at 17:01:04, Keepbotting used the command [search ramokee]
On 08/04/2015 at 17:01:12, Keepbotting used the command [search completion]
On 08/04/2015 at 17:01:15, Keepbotting used the command [search max]
On 08/04/2015 at 17:01:19, Keepbotting used the command [item 2047]
On 08/04/2015 at 17:01:24, Keepbotting used the command [item 20747]
On 08/04/2015 at 17:01:41, Keepbotting used the command [search steadfast]
On 08/04/2015 at 17:01:45, Keepbotting used the command [item 20000]
On 08/04/2015 at 17:02:21, Keepbotting used the command [search tokhaar]
On 08/04/2015 at 17:02:24, Keepbotting used the command [item 19111]
On 08/04/2015 at 17:04:51, Keepbotting used the command [search fire rune]
On 08/04/2015 at 17:05:09, Keepbotting used the command [search let of gl]
On 08/04/2015 at 17:09:11, Keepbotting used the command [search granite body]
On 08/04/2015 at 17:10:48, Keepbotting used the command [search granity]
On 08/04/2015 at 17:10:52, Keepbotting used the command [search granite]
On 08/04/2015 at 17:11:06, Keepbotting used the command [item 13785]
On 08/04/2015 at 17:18:45, Keepbotting used the command [empty]
On 08/04/2015 at 17:18:52, Keepbotting used the command [empty]
On 08/04/2015 at 17:40:47, Keepbotting used the command [search fire rune]
On 08/04/2015 at 17:41:02, Keepbotting used the command [search let of gl]
On 08/04/2015 at 17:46:27, Keepbotting used the command [search fire rune]
On 08/04/2015 at 17:46:31, Keepbotting used the command [item 554]
On 08/04/2015 at 17:46:41, Keepbotting used the command [item 6428]
On 08/04/2015 at 17:46:46, Keepbotting used the command [item 6429]
On 08/04/2015 at 17:46:52, Keepbotting used the command [item 7554]
On 08/04/2015 at 17:47:07, Keepbotting used the command [item 9699]
On 08/04/2015 at 17:47:14, Keepbotting used the command [item 17783]
On 08/04/2015 at 17:53:10, Keepbotting used the command [empty]
On 08/04/2015 at 17:53:16, Keepbotting used the command [search fire rune]
On 08/04/2015 at 17:53:20, Keepbotting used the command [item 554]
On 08/08/2015 at 12:22:47, Shadows used the command [search torva]
On 08/08/2015 at 12:22:52, Shadows used the command [item 20135 1]
On 08/08/2015 at 12:22:59, Shadows used the command [master]
On 08/08/2015 at 12:22:59, Shadows used the command [heal]
On 08/08/2015 at 12:23:17, Shadows used the command [heal]
On 08/08/2015 at 12:23:25, Shadows used the command [item 20143 1]
On 08/08/2015 at 12:23:32, Shadows used the command [item 20139 1]
On 08/08/2015 at 12:23:41, Shadows used the command [heal]
On 08/08/2015 at 12:23:46, Shadows used the command [heal]
On 08/08/2015 at 12:43:17, Shadows used the command [heal]
On 08/08/2015 at 12:43:26, Shadows used the command [search monkfish]
On 08/08/2015 at 12:43:32, Shadows used the command [item 7946 10]
On 08/08/2015 at 12:53:54, Shadows used the command [heal]
On 08/08/2015 at 12:54:00, Shadows used the command [search shark]
On 08/08/2015 at 12:54:09, Shadows used the command [item 385 20]
On 08/08/2015 at 13:04:14, Shadows used the command [search dharok]
On 08/08/2015 at 13:04:18, Shadows used the command [item 11848]
On 08/08/2015 at 13:08:18, Shadows used the command [search overload]
On 08/08/2015 at 13:08:21, Shadows used the command [item 15332]
On 08/12/2015 at 17:22:50, Keepbotting used the command [tele 3230 3407]
On 08/12/2015 at 17:23:15, Keepbotting used the command [tele 3228 3407]
On 08/12/2015 at 17:26:13, Keepbotting used the command [tele 3230 3404]
On 08/12/2015 at 17:26:21, Keepbotting used the command [tele 3230 3407]
On 08/12/2015 at 17:28:07, Keepbotting used the command [tele 3230 3407]
On 08/12/2015 at 17:35:34, Keepbotting used the command [tele 3304 3116]
On 08/12/2015 at 17:35:48, Keepbotting used the command [nclip]
On 08/12/2015 at 17:35:50, Keepbotting used the command [noclip]
On 08/12/2015 at 17:35:55, Keepbotting used the command [mypos]
On 08/12/2015 at 17:37:11, Keepbotting used the command [tele 3023 3208]
On 08/12/2015 at 17:37:24, Keepbotting used the command [noclip]
On 08/12/2015 at 22:49:08, Keepbotting used the command [tele 3230 3407]
On 08/12/2015 at 23:30:26, Keepbotting used the command [givemod keepbotting2]
On 08/12/2015 at 23:30:42, Keepbotting used the command [givemod keepbotting2]
On 08/12/2015 at 23:31:40, Keepbotting used the command [yell fk]
On 08/13/2015 at 16:09:45, Keepbotting used the command [noclip]
On 08/13/2015 at 16:14:19, Keepbotting used the command [tele 0 0]
On 08/13/2015 at 16:16:53, Keepbotting used the command [tele 3304 3116]
On 08/13/2015 at 16:17:00, Keepbotting used the command [noclip]
On 08/13/2015 at 16:17:10, Keepbotting used the command [mypos]
On 08/13/2015 at 16:17:59, Keepbotting used the command [tele 3023 3208]
On 08/13/2015 at 16:18:06, Keepbotting used the command [noclip]
On 08/13/2015 at 16:18:24, Keepbotting used the command [mypos]
On 08/13/2015 at 16:19:27, Keepbotting used the command [mypos]
On 08/13/2015 at 16:20:01, Keepbotting used the command [mypos]
On 08/13/2015 at 16:20:17, Keepbotting used the command [mypos]
On 08/13/2015 at 16:20:46, Keepbotting used the command [mypos]
On 08/13/2015 at 16:21:22, Keepbotting used the command [mypos]
On 08/13/2015 at 16:21:49, Keepbotting used the command [mypos]
On 08/13/2015 at 16:21:54, Keepbotting used the command [tele 3011 3184 1]
On 08/13/2015 at 16:22:04, Keepbotting used the command [tele 3011 3184 2]
On 08/13/2015 at 16:22:20, Keepbotting used the command [tele 3011 3184]
On 08/13/2015 at 16:22:28, Keepbotting used the command [tele 3011 3184 0]
On 08/13/2015 at 16:24:04, Keepbotting used the command [tele 3093 3244]
On 08/13/2015 at 16:24:29, Keepbotting used the command [noclip]
On 08/13/2015 at 16:24:41, Keepbotting used the command [mypos]
On 08/13/2015 at 16:26:46, Keepbotting used the command [tele 3044 4973]
On 08/13/2015 at 16:26:59, Keepbotting used the command [tele 3044 4973 1]
On 08/13/2015 at 16:27:15, Keepbotting used the command [noclip]
On 08/13/2015 at 16:27:42, Keepbotting used the command [noclip]
On 08/13/2015 at 16:28:16, Keepbotting used the command [noclip]
On 08/13/2015 at 16:29:08, Keepbotting used the command [tele 3165 9629]
On 08/13/2015 at 16:29:17, Keepbotting used the command [tele 3165 9629 0]
On 08/13/2015 at 16:29:31, Keepbotting used the command [noclip]
On 08/13/2015 at 16:29:37, Keepbotting used the command [heal]
On 08/13/2015 at 16:30:29, Keepbotting used the command [tele 2527 4547]
On 08/13/2015 at 16:30:41, Keepbotting used the command [noclip]
On 08/13/2015 at 16:31:07, Keepbotting used the command [tele 2095 4428]
On 08/13/2015 at 16:31:12, Keepbotting used the command [tele 2095 4428]
On 08/13/2015 at 16:32:16, Keepbotting used the command [tele 2134 4717]
On 08/13/2015 at 16:32:24, Keepbotting used the command [noclip]
On 08/13/2015 at 16:32:32, Keepbotting used the command [tele 2134 4717 2]
On 08/13/2015 at 16:32:43, Keepbotting used the command [tele 2134 4717 1]
